FABRICANTE,DATA,CODIGO,PRODUTO,QTD,OBS
LG,19/06/26,2597,Cond. Z5UW36GFB1 - R32 - MULTI - Q/F - LG,60,
LG,19/06/26,2598,Cond. Z5UW48GFB1 - R32 - MULTI - Q/F - LG,50,
LG,19/06/26,2595,Cond. Z3UW24GFB1 - R32 - MULTI - Q/F - LG,50,
LG,19/06/26,2591,Cond. Z5UQ48GFB1 - R32 - MULTI - Frio - LG,1,
LG,19/06/26,2566,Evap. HW AMNW07GSAA1 - MULTI - Q/F - LG,15,
LG,19/06/26,2569,Evap. HW AMNW18GSKA1 - MULTI - Q/F - LG,30,
LG,19/06/26,2557,Evap. K71v AMNW07GTUC0 c/ Painel - MULTI - Q/F - LG,5,
LG,19/06/26,2556,Evap. K71v AMNW09GTUC0 c/ Painel - MULTI - Q/F - LG,50,
LG,19/06/26,2555,Evap. K71v AMNW12GTUC0 c/ Painel - MULTI - Q/F - LG,75,
LG,19/06/26,2526,Evap. HW AMNW09GSJR0 - MULTI ART - Q/F - LG,5,
LG,22/06/26,2596,Cond. Z4UW30GFB1 - R32 - MULTI - Q/F - LG,50,
LG,22/06/26,2596,Cond. Z4UW30GFB1 - R32 - MULTI - Q/F - LG,20,
TCL,24/06/26,110103,Ar Cond. TAC-55CSGS/CF-INV TCL Piso Teto  55 Frio,66,
TCL,24/06/26,110103,Ar Cond. TAC-55CSGS/CF-INV TCL Piso Teto  55 Frio,66,
TCL,24/06/26,110103,Ar Cond. TAC-55CSGS/CF-INV TCL Piso Teto  55 Frio,66,
TCL,24/06/26,110103,Ar Cond. TAC-55CSGS/CF-INV TCL Piso Teto  55 Frio,66,
TCL,24/06/26,110103,Ar Cond. TAC-55CSGS/CF-INV TCL Piso Teto  55 Frio,66,
TCL,25/06/26,110002,Ar Cond. TAC-12CTG2-INV TCL T-PRO 2.0  12 Frio,150,
TCL,25/06/26,110092,Ar Cond. TAC-12CFG3B-INV TCL Fresh-in Black  3.0  12 Frio,10,
TCL,25/06/26,110030,Evap TAC-12CHTG3-INV-I  BreezeIN AI Q/F - TCL,150,
TCL,25/06/26,110031,Cond TAC-12CHTG3-INV-O  BreezeIN AI Q/F - TCL,150,
TCL,25/06/26,110091,Ar Cond. TAC-12CFG3W-INV TCL Fresh-in  3.0  12 Frio,20,
TCL,25/06/26,110051,Ar Cond. TAC-34CHSG2-INV TCL Serie G2  34 Quente,8,
TCL,25/06/26,110051,Ar Cond. TAC-34CHSG2-INV TCL Serie G2  34 Quente,3,
TCL,25/06/26,110093,Ar Cond. TAC-18CFG3W-INV TCL Fresh-in  3.0  18 Frio,10,
TCL,25/06/26,110001,Ar Cond. TAC-09CHTG2-INV TCL T-PRO 2.0  09 Quente,15,
TCL,25/06/26,110000,Ar Cond. TAC-09CTG2-INV TCL T-PRO 2.0  09 Frio,250,
TCL,25/06/26,110001,Ar Cond. TAC-09CHTG2-INV TCL T-PRO 2.0  09 Quente,13,
TCL,25/06/26,110006,Ar Cond. TAC-24CTG2-INV TCL T-PRO 2.0  24 Frio,50,
TCL,25/06/26,110050,Ar Cond. TAC-32CSG2-INV TCL Serie G2  32 Frio,30,
TCL,25/06/26,110051,Ar Cond. TAC-34CHSG2-INV TCL Serie G2  34 Quente,29,
TCL,25/06/26,110001,Ar Cond. TAC-09CHTG2-INV TCL T-PRO 2.0  09 Quente,122,
TCL,25/06/26,110008,Ar Cond. TAC-18CTG2X-INV TCL T-PRO 2.0  18 Frio,100,
TCL,25/06/26,110103,Ar Cond. TAC-55CSGS/CF-INV TCL Piso Teto  55 Frio,31,
TCL,26/06/26,110205,Ar Cond. TAC-36CSGS/CT-INV TCL Cassete  36 Frio,15,
TCL,26/06/26,110103,Ar Cond. TAC-55CSGS/CF-INV TCL Piso Teto  55 Frio,3,
TCL,26/06/26,110103,Ar Cond. TAC-55CSGS/CF-INV TCL Piso Teto  55 Frio,22,
